geoid,geoid20,year,denom_total_pop,lowaccess_count,lowaccess_li_count,lowaccess_kids_count,lowaccess_seniors_count
1400000US06037101110,6037101110,2019,4731,115,37,18,12
1400000US06037101122,6037101122,2019,3664,1704,137,292,260
1400000US06037101220,6037101220,2019,3363,0,0,0,0
1400000US06037101221,6037101221,2019,3260,0,0,0,0
1400000US06037101222,6037101222,2019,2730,0,0,0,0
1400000US06037101300,6037101300,2019,4199,15,2,2,3
1400000US06037101400,6037101400,2019,3903,323,57,56,49
1400000US06037102103,6037102103,2019,1740,256,36,41,46
1400000US06037102104,6037102104,2019,3644,3573,1200,546,514
1400000US06037102105,6037102105,2019,1731,1731,760,393,167
1400000US06037102107,6037102107,2019,3851,1064,279,236,132
1400000US06037103101,6037103101,2019,2670,357,70,51,51
1400000US06037103102,6037103102,2019,4751,0,0,0,0
1400000US06037103201,6037103201,2019,1621,549,181,97,92
1400000US06037103202,6037103202,2019,3929,1331,439,234,222
1400000US06037103300,6037103300,2019,3819,2904,276,598,448
1400000US06037103401,6037103401,2019,3443,0,0,0,0
1400000US06037103402,6037103402,2019,2700,0,0,0,0
1400000US06037104103,6037104103,2019,4085,0,0,0,0
1400000US06037104105,6037104105,2019,5411,0,0,0,0
1400000US06037104108,6037104108,2019,5256,0,0,0,0
1400000US06037104124,6037104124,2019,4174,889,41,129,123
1400000US06037104201,6037104201,2019,4780,0,0,0,0
1400000US06037104203,6037104203,2019,5210,0,0,0,0
1400000US06037104204,6037104204,2019,3371,11,4,1,2
1400000US06037104310,6037104310,2019,4921,0,0,0,0
1400000US06037104321,6037104321,2019,2573,0,0,0,0
1400000US06037104322,6037104322,2019,3425,0,0,0,0
1400000US06037104401,6037104401,2019,3357,0,0,0,0
1400000US06037104403,6037104403,2019,3265,0,0,0,0
1400000US06037104404,6037104404,2019,3236,0,0,0,0
1400000US06037104500,6037104500,2019,3293,0,0,0,0
1400000US06037104610,6037104610,2019,3672,0,0,0,0
1400000US06037104620,6037104620,2019,3539,0,0,0,0
1400000US06037104701,6037104701,2019,4208,0,0,0,0
1400000US06037104703,6037104703,2019,2389,0,0,0,0
1400000US06037104704,6037104704,2019,4219,0,0,0,0
1400000US06037104821,6037104821,2019,3514,0,0,0,0
1400000US06037104822,6037104822,2019,2261,0,0,0,0
1400000US06037104823,6037104823,2019,2520,0,0,0,0
1400000US06037104824,6037104824,2019,2808,0,0,0,0
1400000US06037106010,6037106010,2019,3148,1330,437,337,103
1400000US06037106020,6037106020,2019,5556,1726,585,412,187
1400000US06037106111,6037106111,2019,3153,3109,730,713,316
1400000US06037106112,6037106112,2019,5945,1666,360,457,135
1400000US06037106113,6037106113,2019,3493,0,0,0,0
1400000US06037106114,6037106114,2019,5876,0,0,0,0
1400000US06037106403,6037106403,2019,3825,0,0,0,0
1400000US06037106405,6037106405,2019,3966,1204,538,363,70
1400000US06037106406,6037106406,2019,4788,4788,1317,1293,491
1400000US06037106407,6037106407,2019,2933,0,0,0,0
1400000US06037106408,6037106408,2019,3463,0,0,0,0
1400000US06037106510,6037106510,2019,5269,5269,1013,1630,395
1400000US06037106520,6037106520,2019,5837,3921,1456,1074,383
1400000US06037106603,6037106603,2019,2007,0,0,0,0
1400000US06037106604,6037106604,2019,5019,4770,2605,1468,397
1400000US06037106641,6037106641,2019,2317,2317,347,445,395
1400000US06037106642,6037106642,2019,3236,885,90,187,149
1400000US06037106643,6037106643,2019,4318,3529,346,769,440
1400000US06037106645,6037106645,2019,3389,2289,383,428,514
1400000US06037106646,6037106646,2019,3237,24,3,5,3
1400000US06037106648,6037106648,2019,3890,0,0,0,0
1400000US06037106649,6037106649,2019,2853,291,49,81,16
